id,definition,label,synonyms
http://purl.obolibrary.org/obo/GO_0005794,"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions.",Golgi apparatus,"Golgi complex,Golgi,Golgi ribbon"
http://purl.obolibrary.org/obo/GO_0005840,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",ribosome,"free ribosome,ribosomal RNA,membrane bound ribosome"
http://purl.obolibrary.org/obo/GO_0005811,An intracellular non-membrane-bounded organelle comprising a matrix of coalesced lipids surrounded by a phospholipid monolayer. May include associated proteins.,lipid droplet,"adiposome,lipid particle,lipid body"
http://purl.obolibrary.org/obo/GO_0005777,"A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism.",peroxisome,"peroxisomal,peroxisome vesicle"
http://purl.obolibrary.org/obo/GO_0005654,That part of the nuclear content other than the chromosomes or the nucleolus.,nucleoplasm,
http://purl.obolibrary.org/obo/GO_0005773,"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol.",vacuole,vacuolar carboxypeptidase Y
http://purl.obolibrary.org/obo/GO_0009579,"A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation.",thylakoid,photosynthetic membrane
http://purl.obolibrary.org/obo/GO_0032991,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together.",protein-containing complex,"protein-protein complex,protein complex,protein containing complex,macromolecule complex,macromolecular complex"
http://purl.obolibrary.org/obo/GO_0005815,"An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides.",microtubule organizing center,"MTOC,microtubule organising centre"
http://purl.obolibrary.org/obo/GO_0005783,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).",endoplasmic reticulum,ER
http://purl.obolibrary.org/obo/GO_0031410,A vesicle found in the cytoplasm of a cell.,cytoplasmic vesicle,"cytoplasmic, membrane-bounded vesicle,cytoplasmic membrane-enclosed vesicle,cytoplasmic membrane bounded vesicle"
http://purl.obolibrary.org/obo/GO_0031012,"A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues.",extracellular matrix,"proteinaceous extracellular matrix,matrisome"
http://purl.obolibrary.org/obo/GO_0005829,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",cytosol,
http://purl.obolibrary.org/obo/GO_0005635,"The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space).",nuclear envelope,
http://purl.obolibrary.org/obo/GO_0005634,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",nucleus,"cell nucleus,horsetail nucleus"
http://purl.obolibrary.org/obo/GO_0030312,A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space.,external encapsulating structure,
http://purl.obolibrary.org/obo/GO_0000229,A chromosome found in the cytoplasm.,cytoplasmic chromosome,cytoplasmic interphase chromosome
http://purl.obolibrary.org/obo/GO_0000228,A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact.,nuclear chromosome,nuclear interphase chromosome
http://purl.obolibrary.org/obo/GO_0005768,A vacuole to which materials ingested by endocytosis are delivered.,endosome,
http://purl.obolibrary.org/obo/GO_0005886,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,plasma membrane,"juxtamembrane,cytoplasmic membrane,cell membrane,plasmalemma,bacterial inner membrane,inner endospore membrane,cellular membrane,plasma membrane lipid bilayer"
http://purl.obolibrary.org/obo/GO_0005764,"A small lytic vacuole that has cell cycle-independent morphology and is found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions.",lysosome,
http://purl.obolibrary.org/obo/GO_0005929,"A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body.",cilium,"primary cilium,flagellum,eukaryotic flagellum,microtubule-based flagellum"
